MID000,CLA000,,,OSCsem,OSCcnt,,OSCfrq,OSCfac,OSCprt,OSCshp,,OSCphs,OSCfrD,OSCslD,OSCmaD,OSCatD,OSCunD,OSCcoX,OSCleX,,RNDsub,RNDlow,RNDhir,RNDbpm,FLTfrq,FLTres,FLTreC,FLTphs,FLTfrC,FLTfdb,FLTvce,FLTvre,FLTgai,FLTbwi,FLTfrQ,FLRfr3,DLY_5m,DLY25m,DLY100,DLY500,DLY_1s,DLY_2s,DLY2p7,DLYsmp,DLY5m8,DLY258,DLY1h8,DLY5h8,DLY1s8,DLY2s8,DLY278,,,LVLlev,LVLpos,LVLamp,LVLatt,LVLrel,LVLatG,LVLreG,LVLthr,,,NTEran,NTEtim,NTEtiL,NTEthr,NTElev,,ENVtim,ENVlev,EFXrat,,EFXraF,EFXraS,EFXfrS,EFXfrL,EFXfrH,EFXsem,EFXpra,EFXsmR,EFXmeR,EFXlaR,EFXhaR,EFXthC,EFXraC,EFXatC,EFXreC,EFXlvC,,MIXdbl,MIXpn1,MIXpn2,MIXcrs,LOGsub,LOGlow,LOGhii,
0,0,0,,-64,-50,0,8.1758,0.0248,0,50,0,0,10.3,1,20,0.5,0,0.5,0,0,699,62.9,0.26,24,13.75,0.5,0,100,8.1758,-64,-64,-64,-18,2,20,100,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,0,0,0,0,0,0,0,0,0,-64,0,0,0,10,0.2,0.5,-INF,,,0,0.2,0.2,-INF,-8,,0.5,0,0.05,0,0.01,32.7,0,0,0,-16,-4,0,0,0,0,-30,1.1,0,125,-30,,-99.9,-64,-64,127,0.1,1.04,10.4,
1,0.8,0.787402,,-63,-49.2,1,8.662,0.0263,0.004,50,1,3,10.91,1.01,20.6,0.6,0.5,1,1,1,350,59.4,0.27,26,14.57,0.51,0.8,104.1,8.662,-63,-63,-63,-17.7,1.98,21.08,104,0.05,0.21,0.8,3.95,7.89,15.8,21.3,2,0.01,0.03,0.1,0.49,0.99,1.97,2.66,1,0.8,-63,0.5,0.01,0.53,10.5,0.3,0.59,-42.1,,,0,0.2,0.3,-42.1,-7.9,,0.6,0.5,0.05,1,0.02,34.65,0,0,0.001,-15.8,-3.94,23.6,47.2,70.8,94.4,-29,1.2,0.53,129,-29,,-99,-63,-63,126,0.11,1.11,11.1,
2,1.6,1.574803,,-62,-48.4,2,9.177,0.0278,0.005,51,2,6,11.56,1.03,21.2,0.7,1,2,2,2,233,56,0.29,28,15.43,0.51,1.6,108.3,9.177,-62,-62,-62,-17.4,1.97,22.22,107,0.09,0.41,1.59,7.89,15.8,31.5,42.5,3,0.01,0.05,0.2,0.99,1.97,3.94,5.32,2,1.6,-62,1,0.02,0.56,10.9,0.4,0.67,-36.1,,,1,0.3,0.3,-36.1,-7.8,,0.7,1,0.05,2,0.05,36.71,0,0,0.006,-15.5,-3.88,47.2,94.5,141.6,189,-28,1.3,0.56,134,-28,,-72.1,-62,-62,124,0.12,1.19,11.9,
3,2.3,2.362205,,-61,-47.7,3,9.7227,0.0295,0.006,51,3,8,12.25,1.04,21.8,0.9,1.5,3,3,3,175,52.9,0.3,30,16.35,0.52,2.3,112.7,9.7227,-61,-61,-61,-17.2,1.95,23.42,111,0.14,0.6,2.39,11.8,23.6,47.3,63.8,4,0.02,0.08,0.3,1.48,2.95,5.91,7.97,3,2.3,-61,1.5,0.03,0.6,11.4,0.5,0.76,-32.5,,,1,0.4,0.4,-32.5,-7.6,,0.9,1.5,0.05,3,0.07,38.89,0,0.001,0.021,-15.3,-3.81,70.9,142,212.7,284,-27,1.4,0.59,139,-27,,-69.2,-61,-61,122,0.13,1.28,12.8,
4,3.1,3.149606,,-60,-46.9,4,10.301,0.0312,0.008,52,4,11,12.98,1.06,22.5,1.1,2,4,4,4,140,49.9,0.32,32,17.32,0.53,3.1,117.3,10.301,-60,-60,-60,-16.9,1.94,24.69,115,0.18,0.8,3.18,15.8,31.5,63,85.1,5,0.02,0.1,0.4,1.97,3.94,7.88,10.6,4,3.1,-60,2,0.04,0.64,12,0.6,0.87,-30,,,2,0.5,0.5,-30,-7.5,,1.1,2,0.06,4,0.09,41.2,0,0.003,0.049,-15,-3.75,94.5,189,283.5,378,-26,1.5,0.63,144,-26,,-66.9,-60,-60,120,0.14,1.37,13.7,
5,3.9,3.937008,,-59,-46.1,5,10.913,0.0331,0.01,52,5,14,13.75,1.07,23.1,1.3,2.5,5,5,5,117,47.1,0.34,34,18.35,0.54,3.9,122.1,10.913,-59,-59,-59,-16.6,1.92,26.02,119,0.22,1,3.97,19.7,39.4,78.8,106,6,0.03,0.13,0.5,2.46,4.92,9.85,13.3,5,3.9,-59,2.5,0.05,0.67,12.5,0.8,0.98,-28.1,,,2,0.6,0.6,-28.1,-7.4,,1.3,2.5,0.06,5,0.11,43.65,0.001,0.006,0.096,-14.8,-3.69,118,236,354,472,-25,1.6,0.67,149,-25,,-64.8,-59,-59,118,0.15,1.47,14.7,
6,4.7,4.724409,,-58,-45.3,6,11.562,0.0351,0.013,52,6,17,14.57,1.09,23.8,1.5,3,6,6,6,99.9,44.5,0.36,36,19.45,0.55,4.7,127.1,11.562,-58,-58,-58,-16.3,1.91,27.43,123,0.26,1.2,4.76,23.6,47.3,94.5,128,7,0.03,0.15,0.6,2.95,5.91,11.8,15.9,6,4.7,-58,3,0.06,0.72,13.1,0.9,1.11,-26.5,,,3,0.7,0.7,-26.5,-7.3,,1.5,3,0.07,6,0.14,46.25,0.001,0.01,0.17,-14.5,-3.63,142,283,426,566,-24,1.7,0.71,154,-24,,-62.9,-58,-58,116,0.16,1.57,15.8,
7,5.5,5.511811,,-57,-44.5,7,12.25,0.0372,0.016,53,7,20,15.43,1.11,24.5,1.8,3.5,7,7,7,87.4,42,0.38,38,20.6,0.55,5.5,132.3,12.25,-57,-57,-57,-16,1.89,28.91,127,0.3,1.4,5.55,27.6,55.1,110,149,8,0.04,0.17,0.69,3.45,6.89,13.8,18.6,7,5.5,-57,3.5,0.07,0.76,13.7,1,1.25,-25.2,,,3,0.9,0.8,-25.2,-7.1,,1.8,3.5,0.08,7,0.16,49,0.001,0.016,0.26,-14.3,-3.56,165,331,495,662,-23,1.8,0.75,159,-23,,-61.1,-57,-57,114,0.17,1.69,16.9,
8,6.3,6.299213,,-56,-43.8,8,12.978,0.0394,0.02,53,8,23,16.35,1.12,25.2,2.1,4,8,8,8,77.7,39.6,0.41,40,21.83,0.56,6.3,137.7,12.978,-56,-56,-56,-15.8,1.88,30.47,132,0.34,1.59,6.34,31.5,63,126,170,9,0.04,0.2,0.79,3.94,7.88,15.8,21.3,8,6.3,-56,4,0.08,0.81,14.3,1.2,1.4,-24,,,4,1,1,-24,-7,,2.1,4,0.09,8,0.18,51.91,0.002,0.024,0.39,-14,-3.5,189,378,567,756,-22,1.9,0.79,165,-22,,-59.5,-56,-56,112,0.18,1.81,18.1,
9,7,7.086614,,-55,-43,9,13.75,0.0417,0.025,53,9,25,17.32,1.14,26,2.5,4.5,9,9,9,69.9,37.4,0.43,42,23.12,0.57,7,143.3,13.75,-55,-55,-55,-15.5,1.86,32.12,136,0.39,1.79,7.14,35.4,70.9,142,191,10,0.05,0.22,0.89,4.43,8.86,17.7,23.9,9,7,-55,4.5,0.09,0.86,15,1.4,1.57,-23,,,4,1.2,1.2,-23,-6.9,,2.5,4.5,0.1,9,0.21,55,0.003,0.035,0.56,-13.8,-3.44,213,425,639,850,-21,2,0.84,171,-21,,-57.9,-55,-55,110,0.19,1.94,19.4,
